Name,Value
upday - Headlines & Daily News,de.axelspringer.yana
"Flipboard - Latest News, Top Stories & Lifestyle",flipboard.app
Weather & Radar USA - Snow radar and alerts,de.wetteronline.wetterapp
Kik,kik.android
upday for Samsung - Zeropage,de.axelspringer.yana.zeropage
BBC News,bbc.mobile.news.ww
Forza Football - Live soccer scores,se.footballaddicts.livescore
Met Office Weather Forecast,uk.gov.metoffice.weather.android
OneFootball - Soccer Scores,de.motain.iliga
,allthingstarget.com
,misshomemade.com
,breedingbusiness.com
,recipeswithessentialoils.com
,carriebradshawlied.com
,cohesivehomes.com
,financeformulas.net
,bengalswire.usatoday.com
,build-basic.com
,woodworkingtrade.com
,spy.com
,coopcancook.com
,corriecooks.com
,offbeatwed.com
,mayihavethatrecipe.com
,sewguide.com
,aquiltinglife.com
,effortlessgent.com
,wholesomemadeeasy.com
,landscapemagazine.co.uk
,deliacreates.com
,relationshipculture.com
,foodtasticmom.com
,thecottagemarket.com
,aglassofbovino.com
,burnhamandhighbridgeweeklynews.co.uk
,menhairstylesworld.com
,emmymade.com
,hemeltoday.co.uk
,surfacetip.com
,nextofwindows.com
,attitude.co.uk
,largsandmillportnews.com
,isixsigma.com
,homestratosphere.com
,valentinascorner.com
,nickishomemadecrafts.com
,sawdust2stitches.com
,ebay.co.uk
,theseasonedmom.com
,dessertswithbenefits.com
,hostthetoast.com
,surreycomet.co.uk
,recipethis.com
,minimalismmadesimple.com
,cookthestory.com
,beyondthebutter.com
,color-meanings.com
,aol.co.uk
,northwichguardian.co.uk
,juststarz.com
,3dsourced.com
,stirlingnews.co.uk
,joyofmotioncrochet.com
,anglingtimes.co.uk
,justsotasty.com
,golf.com
,christinascucina.com
,allthehealthythings.com
,hoopshype.com
,yorkshirepost.co.uk
,noracooks.com
,thenomadvisor.com
,greenhealthycooking.com
,irishamericanmom.com
,shoe-tease.com
,expressandstar.com
,nomadicmatt.com
,livinginashoebox.com
,suggest.com
,uncut.co.uk
,lastminute.com
,247sports.com
,euroweeklynews.com
,au.lifestyle.yahoo.com
,fr.yahoo.com
,guitarnick.com
,errenskitchen.com
,moneyweek.com
,nationalclubgolfer.com
,glamour.com
